,Sam,Rack,Time,CPM Iso1,%Err1,LumEx,ElTime,BCA-1,BCA-2,BCA-3,BCA,t,protein,Tritium,volume,3H-PTX
0,1,31-1,3,9396.330078125,1.19000005722046,0.0,3.26999998092651,1.164,1.145,1.249,1.186,0.0,0.6039678631446808,0.00016310276196030224,6.5624999999999994e-06,24.85375420347463
1,2,31-2,3,9543.33984375,1.17999994754791,0.0,6.67000007629395,1.16,1.163,1.246,1.18966666666667,0.0,0.6066563835450259,0.00016564655361194137,6.5624999999999994e-06,25.241379598010116
2,3,31-3,3,9503.009765625,1.17999994754791,0.0,10.0699996948242,1.154,1.145,1.199,1.166,0.0,0.589376877196546,0.00016494871211319322,6.5624999999999994e-06,25.13504184581992
3,4,31-4,3,8283.33984375,1.26999998092651,0.0,13.460000038147,1.175,1.171,1.203,1.183,0.16666666666666666,0.6017712774852113,0.00014383989715766393,6.5624999999999994e-06,21.91846051926308
4,5,31-5,3,7867.68017578125,1.29999995231628,0.0,16.8600006103516,1.072,1.149,1.194,1.13833333333333,0.16666666666666666,0.5693979378320867,0.00013664392956044022,6.5624999999999994e-06,20.821932123495653
5,6,31-6,3,8095.02001953125,1.27999997138977,0.0,20.2600002288818,1.146,1.147,1.188,1.16033333333333,0.16666666666666666,0.5852654018474683,0.00014057981689541036,6.5624999999999994e-06,21.421686384062532
6,7,31-7,3,6763.02001953125,1.39999997615814,0.0,23.6599998474121,1.167,1.178,1.238,1.19433333333333,0.3333333333333333,0.6100841895455186,0.00011751392355184349,6.5624999999999994e-06,17.90688358885234
7,8,31-8,3,6155.68017578125,1.47000002861023,0.0,27.0599994659424,1.063,1.115,1.133,1.10366666666667,0.3333333333333333,0.5447004122365822,0.00010699222085092028,6.5624999999999994e-06,16.303576510616427
8,9,31-9,3,5722.68017578125,1.52999997138977,0.0,30.4599990844727,1.183,1.171,1.224,1.19266666666667,0.3333333333333333,0.608859194904299,9.948886204097755e-05,6.5624999999999994e-06,15.160207549101342
9,10,31-10,3,5972.35009765625,1.49000000953674,0.0,33.8600006103516,1.2,1.204,1.187,1.197,0.5,0.6120459795069791,0.00010381554350068129,6.5624999999999994e-06,15.819511390580008
10,11,31-11,3,5195.02001953125,1.60000002384186,0.0,37.2599983215332,1.128,1.132,1.147,1.13566666666667,0.5,0.5674848466779843,9.034274777845034e-05,6.5624999999999994e-06,13.766513947192433
11,12,31-12,3,5126.35009765625,1.61000001430511,0.0,40.6599998474121,1.123,1.148,1.159,1.14333333333333,0.5,0.5729909500416819,8.915226130423436e-05,6.5624999999999994e-06,13.58510648445476
12,13,62-1,3,3578.02001953125,1.92999994754791,0.0,44.1500015258789,1.121,1.127,1.147,1.13166666666667,1.0,0.5646193604133595,6.2295132858239e-05,6.5624999999999994e-06,9.49259167363642
13,14,62-2,3,3835.68994140625,1.86000001430511,0.0,47.5499992370605,1.067,1.129,1.077,1.091,1.0,0.535769632668522,6.676680818304045e-05,6.5624999999999994e-06,10.173989818368069
14,15,62-3,3,3960.02001953125,1.83000004291534,0.0,50.939998626709,1.1,1.083,1.133,1.10533333333333,1.0,0.5458792329375934,6.892412757505854e-05,6.5624999999999994e-06,10.502724201913683
15,16,62-4,3,2870.02001953125,2.16000008583069,0.0,54.3300018310547,1.127,1.162,1.164,1.151,2.0,0.5785153500453645,5.0002883430910125e-05,6.5624999999999994e-06,7.619486998995829
16,17,62-5,3,2821.67993164063,2.17000007629395,0.0,57.7200012207031,1.158,1.112,1.14,1.13666666666667,2.0,0.5682019964566161,4.916328449161223e-05,6.5624999999999994e-06,7.491548113007578
17,18,62-6,3,3231.68994140625,2.02999997138977,0.0,61.1199989318848,1.175,1.142,1.171,1.16266666666667,2.0,0.5869571517325881,5.6283226411587066e-05,6.5624999999999994e-06,8.57649164367041
18,19,62-7,3,2256.02001953125,2.4300000667572,0.0,64.5,1.002,1.197,1.152,1.117,3.0,0.5541551888994986,3.933500878621594e-05,6.5624999999999994e-06,5.993906100756715
19,20,62-8,3,2314.67993164063,2.40000009536743,0.0,67.9000015258789,1.059,1.082,1.145,1.09533333333333,3.0,0.5388192789394215,4.035454602095929e-05,6.5624999999999994e-06,6.149264155574749
20,21,62-9,3,2368.35009765625,2.36999988555908,0.0,71.2799987792969,1.121,1.128,0.999,1.08266666666667,3.0,0.5299213572314418,4.128728841361198e-05,6.5624999999999994e-06,6.291396329693255
21,22,62-10,3,2449.68994140625,2.32999992370605,0.0,74.6800003051758,1.144,1.153,1.167,1.15466666666667,4.0,0.5811639222053044,4.2700781318915986e-05,6.5624999999999994e-06,6.506785724787198
22,23,62-11,3,2315.35009765625,2.40000009536743,0.0,78.0699996948242,1.099,1.089,1.163,1.117,4.0,0.5541551888994986,4.036619335607313e-05,6.5624999999999994e-06,6.151038987592097
23,24,62-12,3,2305.02001953125,2.41000008583069,0.0,81.4700012207031,1.179,1.145,1.182,1.16866666666667,4.0,0.5913151478476381,4.018665774366273e-05,6.5624999999999994e-06,6.123681179986702
24,25,53-1,3,2251.35009765625,2.4300000667572,0.0,84.9599990844727,1.153,1.121,1.153,1.14233333333333,5.0,0.5722717250297825,3.925383979142817e-05,6.5624999999999994e-06,5.98153749202715
25,26,53-2,3,2127.02001953125,2.5,0.0,88.3499984741211,1.13,1.107,1.154,1.13033333333333,5.0,0.5636653051162228,3.709263317675411e-05,6.5624999999999994e-06,5.652210769791102
26,27,53-3,3,2183.35009765625,2.47000002861023,0.0,91.75,1.123,1.125,1.044,1.09733333333333,5.0,0.5402287794591347,3.80718559410976e-05,6.5624999999999994e-06,5.801425667214873
27,28,53-4,3,2065.02001953125,2.53999996185303,0.0,95.129997253418,1.27,1.199,1.277,1.24866666666667,6.0,0.6504925830811561,3.6014752796142606e-05,6.5624999999999994e-06,5.487962330840778
28,29,53-5,3,1976.34997558594,2.59999990463257,1.69759663277e-313,98.5299987792969,1.162,1.043,1.205,1.13666666666667,6.0,0.5682019964566161,3.447303296016643e-05,6.5624999999999994e-06,5.253033593930123
29,30,53-6,3,2197.36010742188,2.46000003814697,0.0,101.919998168945,1.13,1.22,1.232,1.194,6.0,0.6098391214428337,3.831538882692922e-05,6.5624999999999994e-06,5.838535440293977
30,31,53-7,3,2413.36010742188,2.34999990463257,0.0,105.319999694824,1.181,1.183,1.245,1.203,7.0,0.6164681003300043,4.2069473656441685e-05,6.5624999999999994e-06,6.410586461933971
31,32,53-8,3,2208.68994140625,2.46000003814697,0.0,108.699996948242,1.161,1.151,1.204,1.172,7.0,0.5937410990113994,3.851232926834704e-05,6.5624999999999994e-06,5.868545412319549
32,33,53-9,3,2280.03002929688,2.42000007629395,0.0,112.099998474121,1.201,1.197,1.234,1.21066666666667,7.0,0.622134895923079,3.975232407961851e-05,6.5624999999999994e-06,6.057497002608535
33,34,53-10,3,2046.02001953125,2.54999995231628,0.0,115.480003356934,1.203,1.222,1.191,1.20533333333333,8.0,0.6181908403652492,3.5684414539493836e-05,6.5624999999999994e-06,5.437625072684775
34,35,53-11,3,2042.03002929687,2.55999994277954,0.0,118.879997253418,1.181,1.199,1.212,1.19733333333333,8.0,0.6122913588946539,3.5615042462311543e-05,6.5624999999999994e-06,5.427054089495093
35,36,53-12,3,2150.03002929688,2.49000000953674,0.0,122.269996643066,1.256,1.276,1.261,1.26433333333333,8.0,0.6623147709939599,3.7492640952639325e-05,6.5624999999999994e-06,5.713164335640278
36,37,1-1,3,2252.36010742188,2.4300000667572,0.0,125.769996643066,1.368,1.3,1.371,1.34633333333333,24.0,0.7254390944637327,3.927139504981016e-05,6.5624999999999994e-06,5.984212579018692
37,38,1-2,3,2084.03002929688,2.52999997138977,0.0,129.169998168945,1.293,1.178,1.309,1.26,24.0,0.6590371603485924,3.634525559415248e-05,6.5624999999999994e-06,5.538324661966093
38,39,1-3,3,2249.03002929688,2.4300000667572,0.0,132.550003051758,1.256,1.204,1.286,1.24866666666667,24.0,0.6504925830811561,3.921351395013292e-05,6.5624999999999994e-06,5.975392601925017
39,40,1-4,3,2075.03002929688,2.52999997138977,0.0,135.949996948242,1.267,1.19,1.343,1.26666666666667,26.0,0.6640820593700277,3.618878524880801e-05,6.5624999999999994e-06,5.514481561723126
40,41,1-5,3,2089.03002929688,2.52999997138977,0.0,139.330001831055,1.208,1.232,1.315,1.25166666666667,26.0,0.6527504918836893,3.643218265220463e-05,6.5624999999999994e-06,5.551570689859754
41,42,1-6,3,2100.03002929688,2.51999998092651,0.0,142.729995727539,1.229,1.235,1.244,1.236,26.0,0.6409900767478162,3.662341989709899e-05,6.5624999999999994e-06,5.580711603367465
